Player Name,Mat,Inn,NO,Runs,HS,Ave,Balls,SR,100,50,0,4s,6s
Brandon King,12,12,3,496,132,55.11,55.3,148.95,1,3,0,44,32
Lendl Simmons,12,11,0,430,90,39.09,47.4,150.35,0,5,0,34,29
Johnson Charles,13,13,0,415,58,31.92,56.3,122.42,0,3,0,45,11
Glenn Phillips,10,10,0,374,87,37.4,43.0,144.96,0,3,0,42,15
Kieron Pollard,12,11,5,349,71,58.17,36.3,159.36,0,1,0,30,19
Shoaib Malik,12,12,7,317,73,63.4,42.3,124.31,0,2,1,22,9
Chandrapaul Hemraj,12,12,0,299,66,24.92,41.1,121.05,0,2,1,27,16
Jean-Paul Duminy,12,12,3,291,65,32.33,35.3,136.62,0,1,0,17,15
Laurie Evans,9,9,0,274,64,30.44,36.0,126.85,0,2,0,32,9
Evin Lewis,10,10,0,265,65,26.5,29.3,149.72,0,2,0,21,22
Rahkeem Cornwall,10,10,0,254,75,25.4,22.1,190.98,0,2,0,25,20
Chris Gayle,10,10,0,243,116,24.3,29.0,139.66,1,0,2,18,19
Colin Munro,9,8,1,231,96,33,30.1,127.62,0,1,1,11,16
Shimron Hetmyer,12,12,1,224,70,20.36,30.1,123.76,0,1,1,21,8
Fabian Allen,11,11,3,218,62,27.25,20.3,177.24,0,1,1,19,13
Jonathan Carter,13,11,1,218,51,21.8,28.3,127.49,0,2,1,17,12
Chadwick Walton,10,10,1,207,73,23,27.3,125.45,0,2,0,11,16
Colin de Grandhomme,8,8,0,203,65,25.38,23.3,143.97,0,1,1,17,10
Alex Hales,12,12,0,197,36,16.42,26.2,124.68,0,0,2,21,11
Nicholas Pooran,12,9,4,192,61,38.4,21.2,150,0,2,2,12,14
Denesh Ramdin,12,9,2,190,50,27.14,31.3,100.53,0,1,1,13,6
Ashley Nurse,13,12,6,188,40,31.33,22.0,142.42,0,0,0,9,15
Andre Fletcher,10,10,1,184,47,20.44,26.3,115.72,0,0,0,18,8
Devon Thomas,11,11,0,180,71,16.36,26.3,113.21,0,2,0,18,6
Sharmarh Brooks,8,8,0,165,53,20.63,20.5,132,0,1,0,15,5
Mohammad Hafeez,9,9,0,160,37,17.78,28.4,93.02,0,0,0,10,3
Colin Ingram,6,6,1,144,52,28.8,18.2,130.91,0,1,0,12,8
Darren Bravo,8,7,2,128,58,25.6,20.4,103.23,0,1,0,5,9
Sherfane Rutherford,12,6,1,118,45,23.6,14.0,140.48,0,0,0,9,7
Sunil Narine,7,7,0,117,46,16.71,11.4,167.14,0,0,1,15,6
Hardus Viljoen,8,6,2,115,32,28.75,15.4,122.34,0,0,0,8,6
Darren Sammy,10,9,1,115,30,14.38,18.3,103.6,0,0,0,4,8
Shakib Al Hasan,6,6,0,111,38,18.5,16.0,115.63,0,0,0,7,2
Raymon Reifer,11,9,2,108,34,15.43,11.3,156.52,0,0,2,4,8
Leniko Boucher,5,4,1,101,62,33.67,14.3,116.09,0,1,0,10,3
Justin Greaves,6,4,1,101,57,33.67,15.5,106.32,0,1,0,10,2
Carlos Brathwaite,11,11,1,99,64,9.9,14.1,116.47,0,1,2,7,5
Andre Russell,5,5,1,99,44,24.75,9.1,180,0,0,1,7,9
Keemo Paul,11,5,2,98,38,32.67,11.3,142.03,0,0,0,5,6
George Worker,7,6,1,88,46,17.6,13.3,108.64,0,0,1,4,5
Christopher Barnwell,7,6,1,83,27,16.6,14.1,97.65,0,0,0,2,4
Ramaal Lewis,7,6,1,76,37,15.2,9.1,138.18,0,0,0,3,6
Tion Webster,3,3,1,75,66,37.5,10.1,122.95,0,1,0,8,2
Jimmy Neesham,10,7,3,75,33,18.75,9.5,127.12,0,0,1,10,1
Keron Cottoy,4,4,4,73,27,0,9.0,135.19,0,0,0,5,4
Dwayne Smith,6,6,0,71,58,11.83,9.1,129.09,0,1,1,7,3
Shamar Springer,6,6,3,66,30,22,9.5,111.86,0,0,0,4,4
Javelle Glen,5,5,1,65,34,16.25,8.3,127.45,0,0,2,3,6
Rayad Emrit,11,7,4,56,21,18.67,5.5,160,0,0,0,2,5
Rovman Powell,4,4,2,52,44,26,4.4,185.71,0,0,0,1,6
Shai Hope,3,3,0,52,23,17.33,7.4,113.04,0,0,0,2,3
Seekkuge Prasanna,9,3,1,51,51,25.5,4.5,175.86,0,1,1,4,4
Jason Holder,13,10,1,50,29,5.56,9.1,90.91,0,0,2,0,4
John Campbell,3,3,0,49,43,16.33,9.1,89.09,0,0,1,4,1
Najibullah Zadran,2,2,0,49,26,24.5,6.2,128.95,0,0,0,5,3
Alzarri Joseph,9,6,4,44,15,22,4.3,162.96,0,0,0,3,2
Litton Das,2,2,0,42,21,21,7.4,91.3,0,0,0,3,0
Derval Green,4,4,2,42,17,21,7.3,93.33,0,0,0,3,1
Romario Shepherd,10,3,2,41,32,41,3.2,205,0,0,0,4,2
Kjorn Ottley,3,2,0,40,25,20,7.0,95.24,0,0,0,6,0
Dominic Drakes,4,2,1,36,34,36,3.1,189.47,0,0,0,3,3
Chris Green,12,4,1,35,28,11.67,4.0,145.83,0,0,0,3,1
Mark Deyal,3,3,0,32,21,10.67,3.2,160,0,0,0,4,2
Imran Khan,4,3,0,30,20,10,5.2,93.75,0,0,1,2,1
Thisara Perera,4,4,2,29,11,14.5,5.1,93.55,0,0,0,2,1
Usama Mir,5,4,1,26,24,8.67,3.0,144.44,0,0,1,2,2
Josh Lalor,5,3,3,24,10,0,3.2,120,0,0,0,1,1
Krishmar Santokie,3,3,2,23,15,23,2.4,143.75,0,0,1,2,1
Obed McCoy,5,2,1,22,14,22,3.1,115.79,0,0,0,2,1
Jade Dernbach,4,3,1,21,12,10.5,3.2,105,0,0,1,1,1
Jason Mohammed,5,5,0,20,12,4,4.2,76.92,0,0,2,1,1
Trevon Griffith,2,2,0,19,11,9.5,2.5,111.76,0,0,0,2,1
Sandeep Lamichhane,6,4,2,19,10,9.5,3.1,100,0,0,2,2,0
Andre McCarthy,3,3,1,18,7,9,3.4,81.82,0,0,0,1,0
Roshon Primus,5,3,0,17,14,5.67,3.4,77.27,0,0,0,1,0
Kavem Hodge,3,2,0,14,13,7,1.5,127.27,0,0,0,2,0
Roland Cato,2,2,0,11,10,5.5,2.3,73.33,0,0,0,2,0
Hayden Walsh,9,2,0,11,9,5.5,2.0,91.67,0,0,0,0,0
Javon Searles,8,4,0,10,8,2.5,2.5,58.82,0,0,1,1,0
Jahmar Hamilton,1,1,0,9,9,9,1.4,90,0,0,0,0,1
Ali Khan,10,2,1,9,8,9,1.1,128.57,0,0,0,0,1
Fawad Ahmed,10,4,3,9,4,9,2.1,69.23,0,0,0,0,0
Zahir Khan,7,4,1,7,6,2.33,1.1,100,0,0,1,0,1
Kesrick Williams,10,4,0,7,6,1.75,4.0,29.17,0,0,2,0,0
Chris Jordan,5,2,1,7,5,7,1.1,100,0,0,0,1,0
Khary Pierre,12,3,1,5,5,2.5,2.3,33.33,0,0,1,0,0
Imran Tahir,9,1,1,4,4,0,0.5,80,0,0,0,0,0
Jeavor Royal,5,2,2,4,3,0,1.0,66.67,0,0,0,0,0
Oshane Thomas,6,2,2,4,2,0,2.0,33.33,0,0,0,0,0
Steven Jacobs,3,2,1,2,1,2,1.1,28.57,0,0,0,0,0
Anderson Phillip,5,1,1,1,1,0,1.3,11.11,0,0,0,0,0
Harry Gurney,8,2,1,1,1,1,0.2,50,0,0,0,0,0
Ben Laughlin,6,1,1,1,1,0,0.1,100,0,0,0,0,0
Colin Munro,13,13,2,567,90,51.55,67.2,140.35,0,6,1,54,24
Glenn Phillips,11,11,0,457,103,41.55,51.5,146.95,1,2,0,34,29
Shimron Hetmyer,12,12,1,440,100,40,49.3,148.15,1,2,0,39,24
Darren Bravo,13,13,4,353,94,39.22,44.5,131.23,0,2,1,17,24
Brendon McCullum,13,13,0,343,68,26.38,40.4,140.57,0,3,2,27,21
Kieron Pollard,9,9,2,330,104,47.14,34.3,159.42,1,1,1,20,22
Rovman Powell,11,10,4,329,84,54.83,33.5,162.07,0,3,0,26,20
Shai Hope,10,10,1,288,88,32,35.0,137.14,0,1,0,22,13
Chris Gayle,11,10,0,283,86,28.3,39.1,120.43,0,1,2,28,17
Denesh Ramdin,13,12,4,272,51,34,36.5,123.08,0,2,1,23,9
Nicholas Pooran,10,10,2,267,46,33.38,30.5,144.32,0,0,0,15,18
Andre Fletcher,9,9,1,252,80,31.5,34.4,121.15,0,1,0,21,13
Luke Ronchi,12,12,1,243,67,22.09,32.2,125.26,0,1,2,23,9
Johnson Charles,8,8,0,225,53,28.13,27.0,138.89,0,1,0,28,9
Devon Thomas,10,8,1,222,58,31.71,26.3,139.62,0,1,0,27,7
David Warner,9,9,2,220,72,31.43,32.5,111.68,0,1,1,19,4
Ross Taylor,9,9,5,220,60,55,29.2,125,0,2,0,13,11
Dwayne Bravo,13,11,4,209,37,29.86,18.3,188.29,0,0,0,9,20
David Miller,8,7,4,205,72,68.33,19.2,176.72,0,1,0,13,13
Jason Mohammed,11,10,2,198,54,24.75,28.2,116.47,0,1,1,19,6
Steven Smith,7,7,0,185,63,26.43,24.1,127.59,0,1,1,21,4
Kennar Lewis,9,8,0,182,51,22.75,25.0,121.33,0,1,0,12,11
Dwayne Smith,8,8,0,174,58,21.75,25.0,116,0,1,0,24,5
Sherfane Rutherford,8,7,2,171,48,34.2,20.0,142.5,0,0,0,11,11
Chadwick Walton,12,12,1,167,43,15.18,23.3,118.44,0,0,0,19,5
Jason Holder,10,10,2,166,54,20.75,20.2,136.07,0,1,1,12,8
Andre Russell,11,9,2,163,121,23.29,13.5,196.39,1,0,0,8,16
Lendl Simmons,9,8,1,156,45,22.29,22.2,116.42,0,0,1,8,12
Anton Devcich,11,9,1,143,50,17.88,17.3,136.19,0,1,0,16,4
Brandon King,7,7,1,142,60,23.67,17.3,135.24,0,1,0,9,11
Ben Cutting,11,10,4,129,29,21.5,17.1,125.24,0,0,1,4,8
Evin Lewis,11,11,0,126,52,11.45,17.5,117.76,0,1,3,8,9
Cameron Delport,8,8,1,126,37,18,18.4,112.5,0,0,1,12,5
Chris Lynn,9,9,0,121,46,13.44,15.1,132.97,0,0,1,12,7
Fabian Allen,4,3,2,119,64,119,10.3,188.89,0,1,0,8,9
Shoaib Malik,5,5,0,119,50,23.8,15.0,132.22,0,1,0,7,7
Martin Guptill,7,7,0,116,73,16.57,18.2,105.45,0,1,2,7,5
Rahkeem Cornwall,8,8,0,113,53,14.13,12.0,156.94,0,1,1,6,10
Carlos Brathwaite,10,7,2,104,41,20.8,11.3,150.72,0,0,0,5,8
Rassie van der Dussen,5,5,1,94,45,23.5,12.3,125.33,0,0,0,12,2
Kevon Cooper,5,4,2,90,42,45,8.1,183.67,0,0,0,6,8
Mahmudullah,8,6,2,87,28,21.75,10.4,135.94,0,0,0,5,5
Hashim Amla,6,6,0,72,35,12,13.4,87.8,0,0,0,6,1
Sohail Tanvir,11,7,3,70,37,17.5,9.5,118.64,0,0,2,6,4
Sunil Narine,12,11,2,66,17,7.33,10.3,104.76,0,0,2,4,5
Qais Ahmad,8,7,2,61,24,12.2,8.5,115.09,0,0,0,3,5
Chris Green,11,7,2,53,25,10.6,8.4,101.92,0,0,1,5,0
Roston Chase,3,3,3,52,38,0,6.0,144.44,0,0,0,4,1
Roshon Primus,4,3,1,47,36,23.5,6.4,117.5,0,0,1,4,3
Tom Cooper,6,6,1,45,15,9,8.5,84.91,0,0,1,3,1
Ashley Nurse,8,5,4,42,20,42,5.1,135.48,0,0,0,3,2
Rayad Emrit,11,6,3,42,17,14,6.0,116.67,0,0,0,1,2
Colin Ingram,4,4,1,41,25,13.67,7.3,91.11,0,0,0,4,0
Darren Sammy,8,5,0,39,36,7.8,6.3,100,0,0,2,2,3
Sunny Sohal,2,2,0,39,22,19.5,6.1,105.41,0,0,0,2,3
Chandrapaul Hemraj,2,1,0,37,37,37,4.2,142.31,0,0,0,3,3
Romario Shepherd,3,3,1,33,13,16.5,3.4,150,0,0,0,2,2
Imran Khan,5,2,1,32,20,32,3.5,139.13,0,0,0,4,0
Shamar Springer,3,3,1,29,17,14.5,5.0,96.67,0,0,1,0,2
Colin de Grandhomme,4,2,2,29,15,0,2.1,223.08,0,0,0,4,1
Javon Searles,7,6,4,29,9,14.5,3.2,145,0,0,1,4,1
Kavem Hodge,5,4,1,21,21,7,2.1,161.54,0,0,2,3,1
Andre McCarthy,3,3,0,20,20,6.67,4.2,76.92,0,0,2,2,1
Mitchell McClenaghan,8,5,2,20,9,6.67,3.2,100,0,0,0,1,1
Sheldon Cotterrell,9,2,1,18,18,18,2.1,138.46,0,0,0,1,2
Tion Webster,2,2,0,17,16,8.5,3.2,85,0,0,0,2,0
Imad Wasim,7,2,1,17,14,17,2.4,106.25,0,0,0,0,1
Steven Taylor,2,2,1,16,8,16,1.5,145.45,0,0,0,2,0
Mark Chapman,4,4,0,12,6,3,2.0,100,0,0,1,2,0
Jeremiah Louis,3,3,3,11,11,0,3.2,55,0,0,0,1,0
Raymon Reifer,5,2,1,11,10,11,2.3,73.33,0,0,0,1,0
Imran Tahir,12,2,1,8,8,8,1.0,133.33,0,0,1,0,1
Alzarri Joseph,4,2,1,7,7,7,1.3,77.78,0,0,0,1,0
Mohammad Sami,2,1,0,6,6,6,1.3,66.67,0,0,0,0,0
Obed McCoy,7,2,1,6,6,6,0.2,300,0,0,0,0,1
Fawad Ahmed,13,1,1,5,5,0,1.2,62.5,0,0,0,0,0
Veerasammy Permaul,3,1,0,5,5,5,1.0,83.33,0,0,0,0,0
Kesrick Williams,7,3,2,5,2,5,1.1,71.43,0,0,0,0,0
Chemar K Holder,3,1,1,4,4,0,0.2,200,0,0,0,1,0
Keemo Paul,6,2,1,4,2,4,1.2,50,0,0,0,0,0
Adam Zampa,9,1,0,3,3,3,0.4,75,0,0,0,0,0
Wahab Riaz,9,2,1,3,2,3,1.0,50,0,0,0,0,0
Sandeep Lamichhane,5,1,1,2,2,0,0.2,100,0,0,0,0,0
Ali Khan,12,1,0,2,2,2,0.5,40,0,0,0,0,0
Oshane Thomas,10,1,1,2,2,0,0.3,66.67,0,0,0,0,0
Samuel Badree,6,1,0,2,2,2,0.3,66.67,0,0,0,0,0
Ibrahim Khaleel,1,1,0,1,1,1,0.2,50,0,0,0,0,0
Chadwick Walton,12,12,1,458,92,41.64,52.2,145.86,0,3,1,37,24
Kumar Sangakkara,11,11,2,379,74,42.11,46.3,135.84,0,4,1,40,10
Chris Gayle,12,11,5,376,93,62.67,49.2,127.03,0,4,1,26,21
Evin Lewis,11,10,1,371,97,41.22,33.3,184.58,0,3,0,28,31
Colin Munro,13,13,3,366,70,36.6,45.1,135.06,0,3,0,32,18
Dwayne Smith,10,10,1,349,103,38.78,43.3,133.72,2,0,1,33,18
Brendon McCullum,10,10,4,335,91,55.83,33.4,165.84,0,3,1,24,25
Jason Mohammed,12,11,2,292,66,32.44,45.5,106.18,0,1,0,18,10
Andre McCarthy,11,11,1,292,61,29.2,38.1,127.51,0,2,0,17,17
Andre Fletcher,10,10,2,286,84,35.75,38.4,123.28,0,1,0,33,9
Kieron Pollard,10,10,2,264,83,33,29.2,150,0,3,1,10,20
Lendl Simmons,11,11,0,256,53,23.27,36.5,115.84,0,1,1,26,11
Darren Bravo,13,12,1,247,43,22.45,33.3,122.89,0,0,0,13,20
Denesh Ramdin,13,11,6,212,59,42.4,27.1,130.06,0,1,0,12,10
Glenn Phillips,7,7,0,176,51,25.14,25.5,113.55,0,1,1,14,8
Rovman Powell,11,11,0,173,43,15.73,23.0,125.36,0,0,2,10,9
Luke Ronchi,4,4,1,172,70,57.33,16.0,179.17,0,2,0,14,9
Kane Williamson,10,10,0,172,47,17.2,32.1,89.12,0,0,1,13,3
Darren Sammy,10,9,2,163,60,23.29,22.1,122.56,0,1,0,9,10
Shane Watson,8,8,1,159,80,22.71,19.3,135.9,0,1,2,7,12
Sunil Narine,13,13,0,159,79,12.23,19.2,137.07,0,1,4,13,9
Johnson Charles,10,10,0,158,53,15.8,26.4,98.75,0,1,0,9,8
Gajanand Singh,11,9,2,151,39,21.57,22.3,111.85,0,0,1,9,6
Nicholas Pooran,10,10,0,151,32,15.1,18.1,138.53,0,0,2,13,11
Carlos Brathwaite,12,9,3,151,31,25.17,17.1,146.6,0,0,0,11,8
Rahkeem Cornwall,7,6,2,142,78,35.5,16.3,143.43,0,1,0,10,11
Martin Guptill,7,7,0,142,33,20.29,25.1,94.04,0,0,0,8,5
Marlon Samuels,9,8,0,130,54,16.25,19.1,113.04,0,1,0,6,8
Brandon King,11,7,1,125,39,20.83,19.5,105.04,0,0,0,7,8
Shoaib Malik,5,5,0,121,51,24.2,17.4,114.15,0,1,1,10,1
Mohammad Hafeez,9,8,1,120,30,17.14,21.1,94.49,0,0,1,13,2
Dwayne Bravo,13,9,0,110,24,12.22,16.3,111.11,0,0,1,8,6
Jonathan Foo,11,10,3,103,22,14.71,12.1,141.1,0,0,1,7,6
Mohammad Nabi,12,7,3,98,29,24.5,8.2,196,0,0,0,8,7
Javon Searles,13,8,3,96,29,19.2,14.3,110.34,0,0,0,8,5
Wayne Parnell,10,7,3,93,44,23.25,13.2,116.25,0,0,0,9,1
Roshon Primus,8,7,4,92,35,30.67,12.1,126.03,0,0,1,7,4
Jonathan Carter,12,6,2,92,31,23,16.4,92,0,0,0,6,1
Sohail Tanvir,12,9,0,88,38,9.78,13.3,108.64,0,0,2,9,4
Babar Azam,5,5,0,79,23,15.8,15.5,83.16,0,0,0,2,1
Kyle Mayers,9,8,2,77,23,12.83,13.1,97.47,0,0,1,2,4
Assad Fudadin,7,5,2,76,29,25.33,11.1,113.43,0,0,1,5,4
Jesse Ryder,5,5,0,69,29,13.8,13.0,88.46,0,0,0,8,0
Akeal Hosein,9,6,1,68,22,13.6,10.2,109.68,0,0,0,3,3
Trevon Griffith,2,2,0,62,42,31,8.3,121.57,0,0,0,5,2
Shakib Al Hasan,3,3,1,61,44,30.5,9.3,107.02,0,0,0,5,1
Sharmarh Brooks,4,2,0,57,37,28.5,8.1,116.33,0,0,0,1,4
Devon Thomas,12,6,1,55,17,11,8.3,107.84,0,0,0,3,3
Christopher Barnwell,7,7,2,53,26,10.6,7.5,112.77,0,0,0,3,2
Shadab Khan,8,6,1,46,30,9.2,9.4,79.31,0,0,1,2,2
Shamar Springer,6,5,1,44,21,11,8.1,89.8,0,0,0,4,0
Kevon Cooper,9,4,2,43,29,21.5,4.4,153.57,0,0,0,4,2
Imad Wasim,5,5,3,39,18,19.5,5.0,130,0,0,1,4,0
Tion Webster,2,2,1,34,32,34,4.2,130.77,0,0,0,2,1
Krishmar Santokie,10,7,5,32,12,16,5.0,106.67,0,0,0,0,3
Kamran Akmal,5,5,0,29,17,5.8,5.3,87.88,0,0,1,2,1
Hamza Tariq,2,2,0,28,18,14,5.5,80,0,0,0,2,0
