First Name,Specialism,Reserve,Innings,Avg,SR,50,100,4s,6s,ducks,Runs,Balls,Not Outs
Colin Munro,ALL-ROUNDER,1 CR,34,24.4,136.8,4,0,73,43,,781,571,2
Chris Green,ALL-ROUNDER,20 L,27,20.1,124.4,0,0,26,5,,321,258,11
Chris Morris,ALL-ROUNDER,1.5 CR,24,14.3,131.4,0,0,14,12,,243,185,7
Marcus Stoinis,ALL-ROUNDER,1 CR,24,57.7,130.9,5,0,75,25,,865,661,9
Glenn Maxwell,ALL-ROUNDER,2 CR,21,39.4,155.5,6,0,51,33,,709,456,3
Ben Cutting,ALL-ROUNDER,75 L,21,26.1,148.8,2,0,21,27,,366,246,7
Carlos Brathwaite,ALL-ROUNDER,50 L,19,10.4,122.2,1,0,15,8,,176,144,2
James Neesham,ALL-ROUNDER,50 L,18,30.1,146.2,0,0,28,18,,361,247,6
Sam Curran,ALL-ROUNDER,1 CR,16,28.5,151,3,0,37,12,,314,208,5
Chris Jordan,ALL-ROUNDER,75 L,15,6.2,93.1,0,0,11,0,,81,87,2
Daniel Sams,ALL-ROUNDER,20 L,14,8.4,117.2,0,0,4,7,,109,93,1
Corey Anderson,ALL-ROUNDER,75 L,13,20.3,124.5,0,0,17,17,,244,196,1
Colin De Grandhomme,ALL-ROUNDER,75 L,12,22.6,131.1,1,0,21,12,,249,190,1
Isuru Udana,ALL-ROUNDER,50 L,12,18,109.1,0,0,5,5,,144,132,4
Mitchell Marsh,ALL-ROUNDER,2 CR,10,7.39,25,0,0,16,4,,238,175,4
Daryl Mitchell,ALL-ROUNDER,50 L,10,35.2,148.8,2,0,21,17,,317,213,1
Dhruv Shorey,ALL-ROUNDER,20 L,9,24.29,106.92,1,0,13,5,,170,159,2
Lalit Yadav,ALL-ROUNDER,20 L,8,20.2,150.75,0,0,9,4,,101,67,3
Jason Holder,ALL-ROUNDER,75 L,8,49.1,70.2,0,1,8,4,,344,490,1
Yusuf Pathan,ALL-ROUNDER,1 CR,7,13.3,88.9,0,0,1,1,,40,45,4
Deepak Hooda,ALL-ROUNDER,40 L,7,10.7,101.6,0,0,5,1,,64,63,1
Sandeep Bavanaka,ALL-ROUNDER,20 L,7,87,141.85,2,0,14,15,,261,184,4
Stuart Binny,ALL-ROUNDER,50 L,5,23.3,175,0,0,5,4,,70,40,2
Pravin Dubey,ALL-ROUNDER,20 L,5,17,109.68,0,0,2,1,,34,31,3
Tom Curran,ALL-ROUNDER,1 CR,5,35.7,102.9,0,0,2,49,,107,104,2
Andile Phehlukwayo,ALL-ROUNDER,50 L,4,35,159.1,0,0,3,1,,35,22,3
Fabian Allen,ALL-ROUNDER,50 L,4,21.3,130.6,1,0,1,13,,64,49,1
Shubham Ranjane,ALL-ROUNDER,20 L,3,19.5,150,0,0,6,0,,39,26,1
Swapnil Singh,ALL-ROUNDER,20 L,3,4,60,0,0,0,0,,12,60,3
Shams Mulani,ALL-ROUNDER,20 L,2,73,140.38,1,0,10,1,,73,52,1
Colin Ingram,BATSMAN,50 L,49,27.8,140.9,6,1,101,55,,"1,167",828,7
Alex Hales,BATSMAN,1 CR,45,31.1,141.2,9,1,131,52,,"1,243",880,5
Rilee Rossouw,BATSMAN,1 CR,43,40.5,144.2,10,1,44,44,,"1,295",898,11
Chris Lynn,BATSMAN,2 CR,34,36.5,151.3,11,0,87,79,,"1,133",749,3
Aaron Finch,BATSMAN,1 CR,25,33.7,144.1,4,1,63,34,,775,538,2
Evin Lewis,BATSMAN,1 CR,21,32.6,135.3,3,1,48,38,,586,433,3
David Miller,BATSMAN,75 L,19,31.6,126.3,2,0,27,20,,442,350,5
Martin Guptill,BATSMAN,1 CR,18,34.1,151.8,2,0,43,35,,545,359,2
Shimron Hetmyer,BATSMAN,50 L,17,19.6,123.6,2,0,25,15,,314,254,1
Tom Banton,BATSMAN,1 CR,15,41.9,164.2,5,1,74,29,,629,383,0
Aiden Markram,BATSMAN,50 L,13,28.6,64.9,3,0,2,15,,372,573,0
Robin Uthappa,BATSMAN,1.5 CR,11,31.3,115.1,1,0,28,10,,282,245,2
Shaun Marsh,BATSMAN,1.5 CR,11,33.4,126.5,3,0,26,13,,334,264,1
Jason Roy,BATSMAN,1.5 CR,10,18.5,136,1,0,21,8,,185,136,0
