Player Name,Player Role,Country,Cap Status,Base Price,Innings,Overs,Wickets,Economy,Maidens,4w,5w,Flag
Sheldon Cottrell,Fast-Bowler,West Indies,Capped,50,12,41,11,8.54,1,0,0,0
Nathan Coulter-Nile,Fast-Bowler,Australia,Capped,100,11,42,12,7.48,0,0,0,0
Mohit Sharma,Fast-Bowler,India,Capped,50,1,3,1,9,1,0,0,0
Tim Southee,Fast-Bowler,New Zealand,Capped,100,4,13,2,11.62,0,0,0,0
Dale Steyn,Fast-Bowler,South Africa,Capped,200,12,45,22,7.49,1,0,0,0
Andrew Tye,Fast-Bowler,Australia,Capped,100,29,108.1,32,8.4,1,0,0,0
Jaydev Unadkat,Fast-Bowler,India,Capped,100,11,37.2,10,10.66,0,0,0,0
Piyush Chawla,Spin-Bowler,India,Capped,100,13,44.3,10,8.97,1,0,0,0
Zahir Khan,Spin-Bowler,Afghanistan,Capped,50,13,48,12,7.23,1,0,0,0
Ish Sodhi,Spin-Bowler,New Zealand,Capped,75,16,60.1,25,8.53,0,1,1,0
Hayden Walsh,Spin-Bowler,West Indies,Capped,50,13,46.4,29,8.19,1,1,1,0
Adam Zampa,Spin-Bowler,Australia,Capped,150,25,91,29,7.49,0,0,0,0
Tushar Deshpande,Fast-Bowler,India,Uncapped,20,10,34.1,19,7.81,1,2,0,0
Riley Meredith,Fast-Bowler,Australia,Uncapped,40,13,48.4,18,8.05,1,0,0,0
Ishan Porel,Fast-Bowler,India,Uncapped,20,7,28,9,6.5,1,0,0,0
K.C Cariappa,Spin-Bowler,India,Uncapped,20,11,41,10,5.02,0,1,0,0
R Sai Kishore,Spin-Bowler,India,Uncapped,20,4,16,2,5.94,0,0,0,0
Josh Hazlewood,Fast-Bowler,Australia,Capped,200,8,28,6,6.29,1,0,0,0
Alzarri Joseph,Fast-Bowler,West Indies,Capped,50,12,41.4,15,8.23,1,1,1,0
Adam Milne,Fast-Bowler,New Zealand,Capped,50,3,11,2,6.55,0,0,0,0
Anrich Nortje,Fast-Bowler,South Africa,Capped,50,7,26.2,6,8.66,1,0,0,0
Mustafizur Rahman,Fast-Bowler,Bangladesh,Capped,100,20,75.4,24,6.46,0,0,0,0
Barinder Sran,Fast-Bowler,India,Capped,50,2,4,0,12.75,0,0,0,0
Ali Khan,Fast-Bowler,United States of America,Associate,20,9,23.1,9,8.03,1,0,0,0
Mohsin Khan,Fast-Bowler,India,Uncapped,20,6,22,4,7.32,0,0,0,0
Lukman Hussain Meriwala,Fast-Bowler,India,Uncapped,20,5,16.2,4,6.67,0,0,0,0
Rahul Shukla,Fast-Bowler,India,Uncapped,20,9,33,16,8.55,0,0,1,0
Sean Abbott,Fast-Bowler,Australia,Capped,75,19,68.1,29,8.73,1,0,0,0
Pat Brown,Fast-Bowler,England,Capped,50,14,51.5,17,8.12,0,0,0,0
Matt Henry,Fast-Bowler,New Zealand,Capped,50,3,11.4,4,8.66,0,0,0,0
Kane Richardson,Fast-Bowler,Australia,Capped,150,15,58,24,7.5,1,0,0,0
Oshane Thomas,Fast-Bowler,West Indies,Capped,50,10,34,14,10.53,1,0,0,0
Naveen Ul-Haq,Fast-Bowler,Afghanistan,Capped,50,4,12,4,6.67,0,0,0,0
Qais Ahmad,Fast-Bowler,Afghanistan,Capped,50,16,61.3,26,6.94,2,0,0,0
Fawad Ahmed,Spin-Bowler,Australia,Capped,50,39,143,40,6.94,1,0,0,0
Khary Pierre,Spin-Bowler,West Indies,Capped,50,12,43.2,10,7.15,0,0,0,0
Waqar Salamkheil,Spin-Bowler,Afghanistan,Capped,50,2,6,0,9.33,0,0,0,0
Tabraiz Shamsi,Spin-Bowler,South Africa,Capped,50,14,53,19,7.75,2,0,0,0
Nandre Burger,Fast-Bowler,South Africa,Uncapped,20,8,26.5,5,7.79,1,0,0,0
Yash Dayal,Fast-Bowler,India,Uncapped,20,9,28,9,6.39,0,0,0,0
C.V Milind,Fast-Bowler,India,Uncapped,20,6,21.1,7,6.05,0,0,0,0
Chetan Sakariya,Fast-Bowler,India,Uncapped,20,5,17.4,10,8.55,0,1,0,0
Kuldeep Sen,Fast-Bowler,India,Uncapped,20,4,14,1,9.14,0,0,0,0
Anureet Singh,Fast-Bowler,India,Uncapped,30,9,29,10,8.86,0,0,0,0
Tanveer Ul-Haq,Fast-Bowler,India,Uncapped,20,2,7,5,3.14,0,0,0,0
Mihir Hirwani,Spin-Bowler,India,Uncapped,20,6,18.5,8,7.43,0,0,0,0
Shiva Singh,Spin-Bowler,India,Uncapped,20,6,23,2,6.7,0,0,0,0
Kyle Abbott,Fast-Bowler,South Africa,Capped,150,24,86.5,31,8.28,0,0,0,0
Doug Bracewell,Fast-Bowler,New Zealand,Capped,50,5,16.5,3,7.72,0,0,0,0
Benaughlin,Fast-Bowler,Australia,Capped,50,18,61.2,20,8.74,1,0,0,0
Tymal Mills,Fast-Bowler,England,Capped,50,11,42,14,6.83,0,0,0,0
James Pattinson,Fast-Bowler,Australia,Capped,100,4,13,2,7.08,0,0,0,0
Liam Plunkett,Fast-Bowler,England,Capped,100,13,41.4,15,8.69,0,0,0,0
Aniket Choudhary,Fast-Bowler,India,Uncapped,20,5,18,7,6.22,1,0,0,0
Akash Deep,Fast-Bowler,India,Uncapped,20,3,12,6,6.17,0,0,0,0
Nathan Ellis,Fast-Bowler,Australia,Uncapped,20,4,11,3,6.64,1,0,0,0
Sayan Ghosh,Fast-Bowler,India,Uncapped,20,9,29.2,15,6.41,0,1,1,0
Chemar Holder,Fast-Bowler,West Indies,Uncapped,20,1,2,0,11.5,0,0,0,0
Arzan Nagwaswalla,Fast-Bowler,India,Uncapped,20,7,24.5,10,5.56,1,1,0,0
Saqib Mahmood,Fast-Bowler,England,Capped,75,9,25,8,8.8,0,0,0,0
Obed McCoy,Fast-Bowler,West Indies,Capped,50,5,18.4,9,8.09,0,0,0,0
Blair Tickner,Fast-Bowler,New Zealand,Capped,50,10,37.4,17,7.62,0,0,0,0
Kesrick Williams,Fast-Bowler,West Indies,Capped,50,14,52.5,18,9.14,0,0,0,0
Zahoor Khan,Fast-Bowler,UAE,Associate,20,4,13.1,7,6.38,1,0,0,0
David Payne,Fast-Bowler,England,Uncapped,30,13,47,16,7.3,2,0,0,0
Kanishk Seth,Fast-Bowler,India,Uncapped,20,4,11,3,8.45,0,0,0,0
Lalit Yadav,Spin-Bowler,India,Uncapped,20,9,29.3,4,6.58,0,0,0,0
Kartik Tyagi,Fast-Bowler,India,Uncapped,20,10,38.1,9,9.62,0,0,0,0
Ravi Bishnoi,Spin-Bowler,India,Uncapped,20,14,8.3,12,7.37,1,0,0,0
Pat Cummins,Fast-Bowler,Australia,Capped,200,1,4,2,7,0,0,0,1
Stuart Binny,Fast-Bowler,India,Capped,50,5,7,1,6.29,0,0,0,1
Sam Curran,Fast-Bowler,England,Capped,100,17,57.3,15,9.72,0,0,0,1
Colin De Grandhomme,Fast-Bowler,New Zealand,Capped,75,6,10,0,9.8,0,0,0,1
Glenn Maxwell,Spin-Bowler,Australia,Capped,200,19,47,10,7.23,0,0,0,1
Chris Morris,Fast-Bowler,South Africa,Capped,150,33,123.5,41,8.41,0,0,0,1
Yusuf Pathan,Spin-Bowler,India,Capped,100,1,1,0,8,0,0,0,1
Ben Cutting,Fast-Bowler,Australia,Capped,75,19,56.2,19,9.14,0,0,0,1
Mitchell Marsh,Fast-Bowler,Australia,Capped,200,6,10,1,11.8,0,0,0,1
Colin Munro,Fast-Bowler,New Zealand,Capped,100,13,22.5,9,9.64,0,0,0,1
James Neesham,Fast-Bowler,New Zealand,Capped,50,21,58.3,23,10.09,0,0,0,1
Andile Phehlukwayo,Fast-Bowler,South Africa,Capped,50,8,23,8,10.26,0,0,0,1
Marcus Stoinis,Fast-Bowler,Australia,Capped,100,15,41.4,16,8.28,0,0,0,1
Fabian Allen,Spin-Bowler,West Indies,Capped,50,8,16,2,8.69,0,0,0,1
Corey Anderson,Fast-Bowler,New Zealand,Capped,75,4,11,4,9,0,0,0,1
Tom Curran,Fast-Bowler,England,Capped,100,31,110.5,44,8.7,0,0,0,1
Jason Holder,Fast-Bowler,West Indies,Capped,75,13,48,14,7.38,0,0,0,1
Chris Jordan,Fast-Bowler,England,Capped,75,29,103.3,34,8.87,0,0,0,1
Daryl Mitchell,Fast-Bowler,New Zealand,Capped,50,11,21.5,11,8.56,0,0,0,1
Rovman Powell,Fast-Bowler,West Indies,Capped,50,1,4,0,11.5,0,0,0,1
Isuru Udana,Fast-Bowler,Srianka,Capped,50,15,53.5,17,7.49,0,0,0,1
David Wiley,Fast-Bowler,England,Capped,150,13,41.4,10,8.02,0,0,0,1
Ashton Agar,Spin-Bowler,Australia,Capped,100,11,37,7,8.49,0,0,0,1
James Faulkner,Fast-Bowler,Australia,Capped,50,23,80,29,8.04,0,0,0,1
Lewis Gregory,Fast-Bowler,England,Capped,50,10,38,16,8.13,0,0,0,1
Moises Henriques,Fast-Bowler,Australia,Capped,100,6,8,2,8.62,0,0,0,1
Scott Kuggeleijn,Fast-Bowler,New Zealand,Capped,50,16,59,16,9,0,0,0,1
Romario Shepherd,Fast-Bowler,West Indies,Capped,50,9,29.4,13,8.33,0,0,0,1
D Arcy Short,Spin-Bowler,Australia,Capped,100,25,69.2,19,8.22,0,0,0,1
David Wiese,Fast-Bowler,South Africa,Capped,75,30,87.5,20,8.89,0,0,0,1
Ravi Bopara,Fast-Bowler,England,Capped,50,25,74.4,24,7.58,0,0,0,1
Mohammad Mahmudullah,Spin-Bowler,Bangladesh,Capped,75,12,31,10,6.74,0,0,0,1
Wiaan Mulder,Fast-Bowler,South Africa,Capped,50,3,6,1,5.33,0,0,0,1
Dasun Shanaka,Fast-Bowler,Srianka,Capped,50,9,22.4,5,10.41,0,0,0,1
Jon Jon Smuts,Spin-Bowler,South Africa,Capped,50,11,32.1,6,6.72,0,0,0,1
Dan Christian,Fast-Bowler,Australia,Capped,75,35,96.3,29,8.15,0,0,0,1
Anaru Kitchen,Spin-Bowler,New Zealand,Capped,50,10,24,2,8.29,0,0,0,1
Jeevan Mendis,Spin-Bowler,Srianka,Capped,50,1,2,0,7,0,0,0,1
Thisara Perera,Fast-Bowler,Srianka,Capped,100,19,42,16,9.52,0,1,1,1
Seekkuge Prasanna,Spin-Bowler,Srianka,Capped,50,9,18,3,7.89,0,0,0,1
Sabbir Rahaman,Spin-Bowler,Bangladesh,Capped,50,1,1,0,4,0,0,0,1
Raymon Reifer,Fast-Bowler,West Indies,Capped,50,10,29.3,14,7.76,0,0,0,1
Mohammad Saifuddin,Fast-Bowler,Bangladesh,Capped,50,13,45.5,20,7.75,0,0,0,1
Deepak Hooda,Spin-Bowler,India,Uncapped,40,4,12,2,6.42,0,0,0,1
Daniel Sams,Fast-Bowler,Australia,Uncapped,20,14,18.1,13,8.4,0,0,0,1
Sandeep Bavanaka,Spin-Bowler,India,Uncapped,20,7,43.3,3,87,0,2,2,1
Pravin Dubey,Spin-Bowler,India,Uncapped,20,5,5.4,2,17,0,0,0,1
Chris Green,Spin-Bowler,Australia,Uncapped,20,27,53.3,16,20.1,0,0,0,1
Shams Mulani,Spin-Bowler,India,Uncapped,20,2,12.1,1,73,0,1,1,1
Shubham Ranjane,Fast-Bowler,India,Uncapped,20,3,6.3,2,19.5,0,0,0,1
Dhruv Shorey,Spin-Bowler,India,Uncapped,20,9,28.2,7,24.29,0,1,1,1
Swapnil Singh,Spin-Bowler,India,Uncapped,20,3,2,0,4,0,0,0,1
Lalit Yadav,Spin-Bowler,India,Uncapped,20,8,16.5,5,20.2,0,0,0,1
Prashant Chopra,Spin-Bowler,India,Uncapped,20,3,5,2,7,0,0,0,1
Mayank Dagar,Spin-Bowler,India,Uncapped,20,6,23,6,4.65,0,0,0,1
Roosh Kalaria,Fast-Bowler,India,Uncapped,20,2,8,2,7.13,0,0,0,1
Akshay Karnewar,Spin-Bowler,India,Uncapped,20,10,33.5,13,5.14,0,1,0,1
Sumit Kumar,Spin-Bowler,India,Uncapped,20,7,25,12,6.8,0,1,0,1
Vishal Kushwah,Fast-Bowler,India,Uncapped,20,7,20,8,8.65,0,1,0,1
Akshdeep Nath,Fast-Bowler,India,Uncapped,20,3,12,3,6.5,0,0,0,1
Azim Kazi,Spin-Bowler,India,Uncapped,20,8,25,6,5.92,0,0,0,1
Abdul Samad,Spin-Bowler,India,Uncapped,20,3,5,1,7.6,0,0,0,1
Utkarsh Singh,Spin-Bowler,India,Uncapped,20,6,16,7,5.69,0,0,0,1
Harsh Tyagi,Spin-Bowler,India,Uncapped,20,10,38.1,6,6.94,0,0,0,1
Gerald Coetzee,Fast-Bowler,South Africa,Uncapped,20,2,1,2,11.08,0,0,0,1
Benny Howell,Fast-Bowler,England,Uncapped,40,15,8.3,16,6.16,0,1,1,1
M Mohammed,Fast-Bowler,India,Uncapped,20,6,16,6,7.44,0,0,0,1
Gurinder Singh,Spin-Bowler,India,Uncapped,20,6,23,5,7.39,1,0,0,1
Himanshu Bisht,Spin-Bowler,India,Uncapped,20,6,18,3,8.17,0,0,0,1
Rohit Damodaran,Spin-Bowler,India,Uncapped,20,6,20.5,6,20.83,0,0,0,1
Ayush Jamwal,Spin-Bowler,India,Uncapped,20,6,22.5,4,6.31,0,0,0,1
Kshitiz Sharma,Spin-Bowler,India,Uncapped,20,5,15,3,7.27,0,0,0,1
Pranshu Vijayran,Fast-Bowler,India,Uncapped,20,5,13,1,9.62,1,0,0,1
Dharmendrasinh Jadeja,Spin-Bowler,India,Uncapped,20,6,20,6,6.35,0,0,0,1
Prerak Mankad,Fast-Bowler,India,Uncapped,20,6,17,8,6.76,0,0,0,1
Corbin Bosch,Fast-Bowler,South Africa,Uncapped,20,3,1.5,2,9.18,0,0,0,1
James Fuller,Fast-Bowler,England,Uncapped,40,4,1,2,13.33,0,0,0,1
Will Jacks,Spin-Bowler,England,Uncapped,30,1,0.1,0,14,0,0,0,1
Jack Prestwidge,Fast-Bowler,Australia,Uncapped,20,6,2.5,4,8.18,0,0,0,1
