Player,Mat,Inn,Overs,Mdns,Runs,Wkts,Ave,Econ,4w,5w,SR
Hayden Walsh,9,9,34.4,0,279,22,12.68,8.29,1,1,9.18
Imran Tahir,9,9,35,1,197,16,12.31,5.63,0,0,13.13
Raymon Reifer,11,10,30.3,0,229,14,16.36,7.76,1,0,12.64
Jason Holder,13,13,49,2,360,14,25.71,7.35,0,0,21
Harry Gurney,8,8,31,0,191,13,14.69,6.16,0,0,14.31
Romario Shepherd,10,9,30.4,0,247,13,19,8.33,1,0,13.69
Chris Green,12,12,45.2,1,292,13,22.46,6.44,1,0,20.92
Sheldon Cotterrell,8,8,30.3,0,231,12,19.25,7.83,0,0,14.75
Kesrick Williams,10,9,34,0,291,12,24.25,8.56,0,0,17
Rayad Emrit,11,11,40.5,1,341,12,28.42,8.56,0,0,19.92
Jimmy Neesham,10,10,27.4,0,296,11,26.91,11.1,0,0,14.55
Keemo Paul,11,11,31,0,304,11,27.64,9.81,0,0,16.91
Fawad Ahmed,10,9,34,1,218,10,21.8,6.41,0,0,20.4
Ali Khan,10,10,35.4,0,313,10,31.3,9.03,0,0,20.8
Khary Pierre,12,12,43.2,0,310,10,31,7.15,0,0,26
Obed McCoy,5,5,19.4,0,151,9,16.78,8.09,1,0,12.44
Oshane Thomas,6,6,24,1,279,9,31,11.63,1,0,16
Alzarri Joseph,9,9,33,0,256,9,28.44,7.76,0,0,22
Sandeep Lamichhane,6,6,20.5,1,129,8,16.13,6.5,0,0,14.88
Ben Laughlin,6,6,21,0,179,8,22.38,8.52,0,0,15.75
Zahir Khan,7,7,24,0,184,8,23,7.67,0,0,18
Carlos Brathwaite,11,11,33,0,307,8,38.38,9.3,0,0,24.75
Shadab Khan,3,3,12,0,75,7,10.71,6.25,0,0,10.29
Qais Ahmad,3,3,12.3,0,80,7,11.43,6.96,0,0,9.86
Chris Jordan,5,5,19,0,172,7,24.57,9.05,0,0,16.29
Sunil Narine,7,7,28,1,162,7,23.14,5.79,0,0,24
Imran Khan,4,4,13,0,87,6,14.5,6.69,0,0,13
Andre Russell,5,4,15.5,0,143,6,23.83,9.64,0,0,14.83
Mohammad Hasnain,4,4,16,0,155,6,25.83,9.69,0,0,16
Shamar Springer,6,6,22,0,207,6,34.5,9.41,0,0,22
Hardus Viljoen,8,7,23,1,196,6,32.67,8.52,0,0,23
Shoaib Malik,12,9,14.3,0,85,6,14.17,6.3,0,0,13.5
Kieron Pollard,12,9,22.4,0,178,6,29.67,8.22,0,0,21.67
Krishmar Santokie,3,3,12,0,92,5,18.4,7.67,0,0,14.4
Roshon Primus,5,5,13.4,0,100,5,20,7.89,0,0,15.2
Dwayne Smith,6,5,17,0,114,5,22.8,6.71,0,0,20.4
Ramaal Lewis,7,6,15,0,110,5,22,7.33,0,0,18
Chandrapaul Hemraj,12,7,14,0,96,5,19.2,6.86,0,0,16.8
Mohammad Hafeez,9,7,21,0,147,5,29.4,7,0,0,25.2
Akeem Jordan,2,2,6,0,61,4,15.25,10.17,1,0,9
Jade Dernbach,4,4,13.4,0,119,4,29.75,9.39,0,0,19
Ashley Nurse,13,5,14.2,0,99,4,24.75,6.91,0,0,21.5
Jean-Paul Duminy,12,6,12.4,0,93,4,23.25,7.97,0,0,17.5
Odean Smith,6,6,16,0,139,4,34.75,8.69,0,0,24
Shakib Al Hasan,6,6,20,1,150,4,37.5,7.5,0,0,30
Javon Searles,8,2,5,0,55,3,18.33,11,0,0,10
Anderson Phillip,5,4,7,0,64,3,21.33,9.14,0,0,14
Derval Green,4,4,12,1,126,3,42,10.5,0,0,24
Usama Mir,5,5,14,1,113,3,37.67,8.07,0,0,28
Joshua Bishop,1,1,4,1,33,2,16.5,8.25,0,0,12
Keron Cottoy,4,2,6,0,38,2,19,6.33,0,0,18
George Worker,7,3,6.2,0,58,2,29,9.16,0,0,19
Kavem Hodge,3,3,8,0,79,2,39.5,9.88,0,0,24
Jeavor Royal,5,4,9.2,0,83,2,41.5,8.89,0,0,28
Josh Lalor,5,5,12,0,97,2,48.5,8.08,0,0,36
Seekkuge Prasanna,9,7,15,0,116,2,58,7.73,0,0,45
Fabian Allen,11,8,17,0,142,2,71,8.35,0,0,51
Darren Sammy,10,2,3,0,22,1,22,7.33,0,0,18
Mark Deyal,3,2,4,0,32,1,32,8,0,0,24
Thisara Perera,4,3,4,0,38,1,38,9.5,0,0,24
Steven Jacobs,3,3,5,0,53,1,53,10.6,0,0,30
Christopher Lamont,3,3,10,0,108,1,108,10.8,0,0,60
Dominic Drakes,4,4,12.5,0,108,1,108,9.13,0,0,71
Rahkeem Cornwall,10,9,17,0,134,1,134,7.88,0,0,102
Fawad Ahmed,13,13,49,0,303,22,13.77,6.18,0,0,13.36
Oshane Thomas,10,10,38,0,318,18,17.67,8.37,0,0,12.67
Imran Tahir,12,12,48,0,284,16,17.75,5.92,1,0,18
Ali Khan,12,12,43.4,0,333,16,20.81,7.8,0,0,16
Andre Russell,11,10,32,0,280,14,20,8.75,0,0,13.71
Ben Cutting,11,11,39.5,1,356,13,27.38,9.17,0,0,17.92
Dwayne Bravo,13,13,45,0,479,13,36.85,10.64,0,0,20.77
Mohammad Irfan,10,10,40.4,4,283,12,23.58,7.13,0,0,19.83
Sohail Tanvir,11,11,42.3,0,325,12,27.08,7.83,0,0,20.75
Khary Pierre,7,7,26,0,147,11,13.36,5.65,0,0,14.18
Sheldon Cotterrell,9,9,33.3,0,280,11,25.45,8.62,0,0,17.73
Carlos Brathwaite,10,10,36,1,283,10,28.3,7.86,0,0,21.6
Chris Green,11,11,40,1,251,10,25.1,6.28,0,0,24
Kesrick Williams,7,7,21,0,176,9,19.56,8.38,0,0,14
Obed McCoy,7,7,24.5,0,186,9,20.67,7.8,0,0,15.89
Wahab Riaz,9,9,33.1,0,242,9,26.89,7.3,0,0,22.11
Adam Zampa,9,9,26,0,247,9,27.44,9.5,0,0,17.33
Raymon Reifer,5,5,16,0,170,8,21.25,10.63,0,1,12
Mitchell McClenaghan,8,8,26,0,234,8,29.25,9,0,0,19.5
Rayad Emrit,11,11,39.1,0,394,8,49.25,10.06,0,0,29.38
Sunil Narine,12,12,47.3,0,304,8,38,6.54,0,0,34.88
