Player Name,Country,Cap Status,Base Price,Innings,Runs,Balls,Average,SR,50,100,4s,6s,NO,Player Role,Flag
George Munsey,Scotland,Associate,20,7,174,105,29,165.7,2,0,15,14,1,Top-Order-Batsman,0
Aaron Finch,Australia,Capped,100,25,775,538,33.7,144.1,4,1,63,34,2,Top-Order-Batsman,0
Chris Lynn,Australia,Capped,200,34,1133,749,36.5,151.3,11,0,87,79,3,Top-Order-Batsman,0
Eoin Morgan,England,Capped,150,9,341,202,42.6,168.8,3,0,18,23,1,Middle-Order-Batsman,0
Cheteshwar Pujara,India,Capped,50,6,260,198,86.67,131.37,1,1,37,2,3,Middle-Order-Batsman,0
Jason Roy,England,Capped,150,10,185,136,18.5,136,1,0,21,8,0,Top-Order-Batsman,0
Robin Uthappa,India,Capped,150,11,282,245,31.3,115.1,1,0,28,10,2,Top-Order-Batsman,0
Hanuma Vihari,India,Capped,50,2,4,8,2,50,0,0,0,0,0,Middle-Order-Batsman,0
Martin Guptill,New Zealand,Capped,100,18,545,359,34.1,151.8,2,0,43,35,2,Top-Order-Batsman,0
Shimron Hetmyer,West Indies,Capped,50,17,314,254,19.6,123.6,2,0,25,15,1,Middle-Order-Batsman,0
Colin Ingram,South Africa,Capped,50,49,1167,828,27.8,140.9,6,1,101,55,7,Middle-Order-Batsman,0
Evin Lewis,West Indies,Capped,100,21,586,433,32.6,135.3,3,1,48,38,3,Top-Order-Batsman,0
David Miller,South Africa,Capped,75,19,442,350,31.6,126.3,2,0,27,20,5,Finisher-Batsman,0
Saurabh Tiwary,India,Capped,50,10,169,151,24.14,111.92,0,0,16,6,1,Middle-Order-Batsman,0
Manoj Tiwary,India,Capped,50,5,83,63,16.6,131.75,0,0,1,3,0,Middle-Order-Batsman,0
Tom Banton,England,Capped,100,15,629,383,41.9,164.2,5,1,74,29,0,Top-Order-Batsman,0
Alex Hales,England,Capped,100,45,1243,880,31.1,141.2,9,1,131,52,5,Top-Order-Batsman,0
Janneman Malan,South Africa,Capped,50,9,358,239,44.8,149.8,3,0,26,22,1,Top-Order-Batsman,0
Aiden Markram,South Africa,Capped,50,4,179,98,44.8,182.7,3,0,22,9,0,Top-Order-Batsman,0
Shaun Marsh,Australia,Capped,150,11,334,264,33.4,126.5,3,0,26,13,1,Middle-Order-Batsman,0
Rilee Rossouw,South Africa,Capped,100,43,1295,898,40.5,144.2,10,1,133,44,11,Middle-Order-Batsman,0
Tom Bruce,New Zealand,Capped,50,14,447,283,34.4,158,3,0,43,17,1,Middle-Order-Batsman,0
Oshada Fernando,Sri Lanka,Capped,50,14,447,283,34.4,158,3,0,43,17,1,Middle-Order-Batsman,0
Avishka Fernando,Sri Lanka,Capped,50,6,221,134,36.8,164.9,1,0,21,14,0,Top-Order-Batsman,0
Brandon King,West Indies,Capped,50,12,496,333,55.1,148.9,3,1,44,32,3,Top-Order-Batsman,0
Lendl Simmons,West Indies,Capped,75,25,796,547,33.2,145.5,7,0,63,56,1,Top-Order-Batsman,0
Rassie Van Der Dussen,South Africa,Capped,50,12,338,237,37.6,142.6,2,0,22,16,3,Middle-Order-Batsman,0
Harpreet Bhatia,India,Uncapped,20,6,345,232,69,148.71,3,0,32,15,1,Middle-Order-Batsman,0
Priyam Garg,India,Uncapped,20,10,227,171,28.38,132.75,2,0,23,5,2,Finisher-Batsman,0
Rohan Kadam,India,Uncapped,20,12,536,413,53.6,129.78,5,0,63,14,2,Middle-Order-Batsman,0
Virat Singh,India,Uncapped,20,10,339,264,56.5,128.41,3,0,38,4,4,Middle-Order-Batsman,0
Rahul Tripathi,India,Uncapped,20,10,289,239,36.13,120.92,3,0,33,5,2,Middle-Order-Batsman,0
Shivam Chauhan,India,Uncapped,20,9,227,185,28.38,122.7,1,0,28,6,1,Middle-Order-Batsman,0
Abhimanyu Easwaran,India,Uncapped,20,11,331,242,41.38,136.78,1,1,27,9,3,Top-Order-Batsman,0
Laurie Evans,England,Uncapped,40,42,1127,885,32.2,127.3,6,1,121,28,7,Top-Order-Batsman,0
Naushad Shaikh,India,Uncapped,20,11,335,252,47.86,132.94,2,0,30,8,0,Middle-Order-Batsman,0
Pratham Singh,India,Uncapped,20,10,438,322,54.75,136.02,4,0,48,10,0,Top-Order-Batsman,0
Himmat Singh,India,Uncapped,20,8,105,96,17.5,109.38,0,0,8,3,0,Middle-Order-Batsman,0
Shivam Bhambri,India,Uncapped,20,11,457,316,45.6,144.7,3,1,45,22,1,Middle-Order-Batsman,0
Ricky Bhui,India,Uncapped,20,6,236,114,59,207.02,1,1,9,22,0,Top-Order-Batsman,0
Hiten Dalal,India,Uncapped,20,9,244,154,30.5,158.44,2,0,20,19,0,Middle-Order-Batsman,0
Shubham Khajuria,India,Uncapped,20,4,68,63,22.67,107.94,0,0,5,3,0,Middle-Order-Batsman,0
Amandeep Khare,India,Uncapped,20,6,249,149,83,167.11,2,0,21,12,0,Middle-Order-Batsman,0
Samarth R,India,Uncapped,20,10,385,317,38.5,121.45,3,0,39,10,0,Top-Order-Batsman,0
Mayank Rawat,India,Uncapped,20,6,301,210,60.2,143.33,2,1,33,14,0,Middle-Order-Batsman,0
Sachin Baby,India,Uncapped,20,5,200,142,50,140.85,1,0,20,4,0,Middle-Order-Batsman,0
Rajesh Bishnoi,India,Uncapped,20,7,96,106,16,90.57,0,0,9,3,0,Middle-Order-Batsman,0
Unmukt Chand,India,Uncapped,20,10,240,195,26.67,123.08,2,0,16,12,1,Top-Order-Batsman,0
Cameron Delport,South Africa,Uncapped,40,53,1381,934,26.6,147.9,7,2,151,61,1,Top-Order-Batsman,0
Priyank Panchal,India,Uncapped,20,10,233,182,23.3,128.02,1,0,25,7,0,Middle-Order-Batsman,0
Vishnu Solanki,India,Uncapped,20,6,108,120,18,90,0,0,8,1,0,Middle-Order-Batsman,0
Armaan Jaffer,India,Uncapped,20,1,27,16,27,168.77,0,0,4,1,0,Middle-Order-Batsman,0
Siddharth Krishnamurthy,India,Uncapped,20,1,27,24,27,112.5,0,0,1,1,0,Middle-Order-Batsman,0
Rajat Patidaer,India,Uncapped,20,5,83,76,16.6,109.21,0,0,4,5,0,Middle-Order-Batsman,0
Shubham Singh Pundir,India,Uncapped,20,5,157,112,39.25,140.18,2,0,15,6,0,Middle-Order-Batsman,0
Himanshu Rana,India,Uncapped,20,7,138,120,19.71,115,1,0,18,3,0,Top-Order-Batsman,0
Ekant Sen,India,Uncapped,20,5,139,113,27.8,123.01,1,0,15,3,0,Middle-Order-Batsman,0
Subhranshu Senapati,India,Uncapped,20,2,52,40,26,130,1,0,6,1,0,Middle-Order-Batsman,0
Max Bryant,Australia,Uncapped,20,15,301,209,23.2,144,1,0,38,13,2,Top-Order-Batsman,0
Rahul Gahlaut,India,Uncapped,20,6,113,78,18.83,144.87,0,0,12,5,0,Middle-Order-Batsman,0
Salman Khan,India,Uncapped,20,2,44,22,0,200,0,0,1,4,0,Middle-Order-Batsman,0
Sharad Lumba,India,Uncapped,20,3,41,27,13.67,151.85,0,0,2,3,0,Middle-Order-Batsman,0
Marco Marais,South Africa,Uncapped,20,8,149,93,29.8,160.2,0,0,14,5,3,Middle-Order-Batsman,0
Alex Carey,Australia,Capped,50,21,653,485,32.6,134.6,4,0,65,18,1,Top-Order-Batsman,1
Shai Hope,West Indies,Capped,50,3,52,46,17.3,113,0,0,2,3,0,Top-Order-Batsman,1
Heinrich Klaasen,South Africa,Capped,50,18,493,321,35.2,153.6,1,1,41,24,4,Middle-Order-Batsman,1
Naman Ojha,India,Capped,50,6,153,103,25.5,148.54,1,0,17,8,0,Finisher-Batsman,1
Kusal Perera,Sri Lanka,Capped,50,7,148,124,21.1,119.4,1,0,12,3,0,Top-Order-Batsman,1
Mushfiqur Rahim,Bangladesh,Capped,75,20,642,468,40.1,137.2,5,0,57,24,4,Middle-Order-Batsman,1
Ankush Bains,India,Uncapped,20,6,198,142,39.6,139.44,3,0,24,6,1,Top-Order-Batsman,1
K.S Bharat,India,Uncapped,20,5,88,91,22,96.7,0,0,5,3,1,Middle-Order-Batsman,1
Kedar Devdhar,India,Uncapped,20,7,212,173,30.29,122.54,2,0,27,2,0,Middle-Order-Batsman,1
Anuj Rawat,India,Uncapped,20,2,47,43,23.5,109.3,0,0,2,3,0,Finisher-Batsman,1
Prabhsimran Singh,India,Uncapped,20,1,16,17,16,94.1,0,0,1,1,0,Top-Order-Batsman,1
